ID,Title,Topic,Difficulty,Source,Last Updated,Problem Description,Examples,Approaches Count,Code Solutions,Full Content,Is Processed
1,Two Sum - Pair with given Sum,Array,Unknown,GeeksforGeeks,"26 Jul, 2025","Given an arrayarr[]of n integers and atargetvalue, check if there exists a pair whose sum equals the target. This is a variation of the2-Sum problem.","Input: arr[] = [0, -1, 2, -3, 1], target = -2Output: trueExplanation: There is a pair (1, -3) with the sum equal to given target, 1 + (-3) = -2.Input: arr[] = [1, -2, 1, 0, 5], target = 0Output: falseExplanation: There is no pair with sum equals to given target.",46,"#include<iostream>#include<vector>usingnamespacestd;booltwoSum(vector<int>&arr,inttarget){intn=arr.size();for(inti=0;i<n;i++){// For each element arr[i], check every// other element arr[j] that comes ","Given an arrayarr[]of n integers and atargetvalue, check if there exists a pair whose sum equals the target. This is a variation of the2-Sum problem.  Input: arr[] = [0, -1, 2, -3, 1], target = -2Output: trueExplanation: There is a pair (1, -3) with the sum equal to given target, 1 + (-3) = -2.Input: arr[] = [1, -2, 1, 0, 5], target = 0Output: falseExplanation: There is no pair with sum equals to given target.  Input: arr[] = [0, -1, 2, -3, 1], target = -2Output: trueExplanation: There is a pair (1, -3) with the sum equal to given target, 1 + (-3) = -2.  Input: arr[] = [1, -2, 1, 0, 5], target = 0Output: falseExplanation: There is no pair with sum equals to given target.  Table of Content  [Naive Approach] Generating all Possible Pairs - O(n^2) time and O(1) space  [Better Approach 1] Sorting and Binary Search - O(n × log(n)) time and O(1) space  [Better Approach 2] Sorting and Two-Pointer Technique - O(n × log(n)) time and O(1) space  [Expected Approach] Using Hash Set - O(n) time and",False
2,Product of Array Except Self,Array,Unknown,GeeksforGeeks,"23 Jul, 2025","Given an array arr[] of n integers, construct aproduct arrayres[] (of the same size) such that res[i] is equal to the product of all the elements of arr[] except arr[i].","Input: arr[] = [10, 3, 5, 6, 2]Output: [180, 600, 360, 300, 900]Explanation:For i=0, res[i] = 3 * 5 * 6 * 2 is 180.For i = 1, res[i] = 10 * 5 * 6 * 2 is 600.For i = 2, res[i] = 10 * 3 * 6 * 2 is 360.For i = 3, res[i] = 10 * 3 * 5 * 2 is 300.For i = 4, res[i] = 10 * 3 * 5 * 6 is 900.Input: arr[] = [12, 0]Output: [0, 12]Explanation:For i = 0, res[i] = 0.For i = 1, res[i] = 12.",32,#include<iostream>#include<vector>usingnamespacestd;// Function to calculate the product of all// elements except the current elementvector<int>productExceptSelf(vector<int>&arr){intn=arr.size();// Fi,"Given an array arr[] of n integers, construct aproduct arrayres[] (of the same size) such that res[i] is equal to the product of all the elements of arr[] except arr[i].  Input: arr[] = [10, 3, 5, 6, 2]Output: [180, 600, 360, 300, 900]Explanation:For i=0, res[i] = 3 * 5 * 6 * 2 is 180.For i = 1, res[i] = 10 * 5 * 6 * 2 is 600.For i = 2, res[i] = 10 * 3 * 6 * 2 is 360.For i = 3, res[i] = 10 * 3 * 5 * 2 is 300.For i = 4, res[i] = 10 * 3 * 5 * 6 is 900.Input: arr[] = [12, 0]Output: [0, 12]Explanation:For i = 0, res[i] = 0.For i = 1, res[i] = 12.  Input: arr[] = [10, 3, 5, 6, 2]Output: [180, 600, 360, 300, 900]Explanation:  For i=0, res[i] = 3 * 5 * 6 * 2 is 180.  For i = 1, res[i] = 10 * 5 * 6 * 2 is 600.  For i = 2, res[i] = 10 * 3 * 6 * 2 is 360.  For i = 3, res[i] = 10 * 3 * 5 * 2 is 300.  For i = 4, res[i] = 10 * 3 * 5 * 6 is 900.  Input: arr[] = [12, 0]Output: [0, 12]Explanation:  For i = 0, res[i] = 0.  For i = 1, res[i] = 12.  Table of Content  [Naive Approach] Using Nested Loops -",False
3,Maximum Subarray Sum  - Kadane's Algorithm,Array,Unknown,GeeksforGeeks,"22 Jul, 2025","Given an integer arrayarr[], find thesubarray(containing at least one element) which has themaximum possible sum, and return that sum.Note:Asubarrayis a continuous part of an array.","Input:arr[] = [2, 3, -8, 7, -1, 2, 3]Output:11Explanation:The subarray [7, -1, 2, 3] has the largest sum 11.Input:arr[] = [-2, -4]Output:-2Explanation:The subarray [-2] has the largest sum -2.Input:arr[] = [5, 4, 1, 7, 8]Output:25Explanation:The subarray [5, 4, 1, 7, 8] has the largest sum 25.",24,#include<iostream>#include<vector>#include<algorithm>usingnamespacestd;intmaxSubarraySum(vector<int>&arr){intres=arr[0];// Outer loop for starting point of subarrayfor(inti=0;i<arr.size();i++){intcurr,"Given an integer arrayarr[], find thesubarray(containing at least one element) which has themaximum possible sum, and return that sum.Note:Asubarrayis a continuous part of an array.  Input:arr[] = [2, 3, -8, 7, -1, 2, 3]Output:11Explanation:The subarray [7, -1, 2, 3] has the largest sum 11.Input:arr[] = [-2, -4]Output:-2Explanation:The subarray [-2] has the largest sum -2.Input:arr[] = [5, 4, 1, 7, 8]Output:25Explanation:The subarray [5, 4, 1, 7, 8] has the largest sum 25.  Input:arr[] = [2, 3, -8, 7, -1, 2, 3]Output:11Explanation:The subarray [7, -1, 2, 3] has the largest sum 11.  Input:arr[] = [-2, -4]Output:-2Explanation:The subarray [-2] has the largest sum -2.  Input:arr[] = [5, 4, 1, 7, 8]Output:25Explanation:The subarray [5, 4, 1, 7, 8] has the largest sum 25.  Table of Content  [Naive Approach] By iterating over all subarrays - O(n^2) Time and O(1) Space  [Expected Approach] Using Kadane's Algorithm - O(n) Time and O(1) Space  [Naive Approach] By iterating over all subarrays - ",False
4,Container with Most Water,Array,Unknown,GeeksforGeeks,"12 Aug, 2025","Given an arrayarr[]ofnon-negativeintegers, where each elementarr[i]represents the height of the vertical lines, find themaximum amount of waterthat can be contained between any two lines, together with the x-axis.","Input:arr[] = [1, 5, 4, 3]Output:6Explanation:5 and 3 are 2 distance apart. So the size of the base = 2. Height of container = min(5, 3) = 3. So total area = 3 * 2 = 6.Input:arr[] = [3, 1, 2, 4, 5]Output:12Explanation:5 and 3 are 4 distance apart. So the size of the base = 4. Height of container = min(5, 3) = 3. So total area = 4 * 3 = 12.Input:arr[] = [2, 1, 8, 6, 4, 6, 5, 5]Output:25Explanation:8 and 5 are 5 distance apart. So the size of the base = 5. Height of container = min(8, 5) = 5. So, ",22,#include<vector>#include<iostream>usingnamespacestd;intmaxWater(vector<int>&arr){intn=arr.size();intres=0;for(inti=0;i<n;i++){for(intj=i+1;j<n;j++){// calculate the amount of waterintamount=min(arr[i],"Given an arrayarr[]ofnon-negativeintegers, where each elementarr[i]represents the height of the vertical lines, find themaximum amount of waterthat can be contained between any two lines, together with the x-axis.  Input:arr[] = [1, 5, 4, 3]Output:6Explanation:5 and 3 are 2 distance apart. So the size of the base = 2. Height of container = min(5, 3) = 3. So total area = 3 * 2 = 6.Input:arr[] = [3, 1, 2, 4, 5]Output:12Explanation:5 and 3 are 4 distance apart. So the size of the base = 4. Height of container = min(5, 3) = 3. So total area = 4 * 3 = 12.Input:arr[] = [2, 1, 8, 6, 4, 6, 5, 5]Output:25Explanation:8 and 5 are 5 distance apart. So the size of the base = 5. Height of container = min(8, 5) = 5. So, total area = 5 * 5 = 25.  Input:arr[] = [1, 5, 4, 3]Output:6Explanation:5 and 3 are 2 distance apart. So the size of the base = 2. Height of container = min(5, 3) = 3. So total area = 3 * 2 = 6.  Input:arr[] = [3, 1, 2, 4, 5]Output:12Explanation:5 and 3 are 4 distance apart. So the si",False
5,Find the Factorial of a large number,Array,Unknown,GeeksforGeeks,"23 Jul, 2025","Factorial of a non-negative integer, is the multiplication of all integers smaller than or equal to n.",Input:100Output:933262154439441526816992388562667004-907159682643816214685929638952175999-932299156089414639761565182862536979-208272237582511852109168640000000000-00000000000000Input:50Output:3041409320171337804361260816606476884-4377641568960512000000000000,34,"// C++ program to compute factorial of big numbers#include<iostream>usingnamespacestd;// Maximum number of digits in output#define MAX 500intmultiply(intx,intres[],intres_size);// This function finds ","Factorial of a non-negative integer, is the multiplication of all integers smaller than or equal to n.  Input:100Output:933262154439441526816992388562667004-907159682643816214685929638952175999-932299156089414639761565182862536979-208272237582511852109168640000000000-00000000000000Input:50Output:3041409320171337804361260816606476884-4377641568960512000000000000  Input:100Output:933262154439441526816992388562667004-907159682643816214685929638952175999-932299156089414639761565182862536979-208272237582511852109168640000000000-00000000000000  Input:50Output:3041409320171337804361260816606476884-4377641568960512000000000000  We have discussed asimple program for factorial.  Why conventional way of computing factorial fails for large numbers?  Afactorialof 100 has 158 digits. It is not possible to store these many digits even if we use long int.  The idea is to use basic mathematics for multiplication.  Illustration:  Example to show working ofmultiply(res[], x)A number 5189 is stored in res",False
6,Trapping Rain Water Problem,Array,Unknown,GeeksforGeeks,"03 Oct, 2025","Given an array arr[] of size n consisting of non-negative integers, where each element represents the height of a bar in an elevation map and the width of each bar is 1, determine the total amount of water that can be trapped between the bars after it rains.","Input:arr[] = [3, 0, 1, 0, 4, 0, 2]Output:10Explanation:The expected rainwater to be trapped is shown in the above image.Input:arr[] = [3, 0, 2, 0, 4]Output:7Explanation:We trap 0 + 3 + 1 + 3 + 0 = 7 units.Input:arr[] = [1, 2, 3, 4]Output:0Explanation: We cannot trap water as there is no height bound on both sides",48,#include<iostream>#include<vector>usingnamespacestd;intmaxWater(vector<int>&arr){intres=0;// For every element of the arrayfor(inti=1;i<arr.size()-1;i++){// Find the maximum element on its leftintleft,"Given an array arr[] of size n consisting of non-negative integers, where each element represents the height of a bar in an elevation map and the width of each bar is 1, determine the total amount of water that can be trapped between the bars after it rains.  Input:arr[] = [3, 0, 1, 0, 4, 0, 2]Output:10Explanation:The expected rainwater to be trapped is shown in the above image.Input:arr[] = [3, 0, 2, 0, 4]Output:7Explanation:We trap 0 + 3 + 1 + 3 + 0 = 7 units.Input:arr[] = [1, 2, 3, 4]Output:0Explanation: We cannot trap water as there is no height bound on both sides  Input:arr[] = [3, 0, 1, 0, 4, 0, 2]Output:10Explanation:The expected rainwater to be trapped is shown in the above image.  Input:arr[] = [3, 0, 2, 0, 4]Output:7Explanation:We trap 0 + 3 + 1 + 3 + 0 = 7 units.  Input:arr[] = [1, 2, 3, 4]Output:0Explanation: We cannot trap water as there is no height bound on both sides  Table of Content  [Naive Approach] Brute Force - O(n^2) Time and O(1) Space  [Better Approach] Prefix ",False
7,Merge Overlapping Intervals,Array,Unknown,GeeksforGeeks,"13 Aug, 2025","Given an array of time intervals wherearr[i] = [starti, endi], our task is to merge all the overlapping intervals into one and output the result which should have only mutually exclusive intervals.","Input:arr[] = [[1, 3], [2, 4], [6, 8], [9, 10]]Output:[[1, 4], [6, 8], [9, 10]]Explanation:In the given intervals, we have only two overlapping intervals [1, 3] and [2, 4]. Therefore, we will merge these two and return [[1, 4]], [6, 8], [9, 10]].Input:arr[] = [[7, 8], [1, 5], [2, 4], [4, 6]]Output:[[1, 6], [7, 8]]Explanation:We will merge the overlapping intervals [[1, 5], [2, 4], [4, 6]] into a single interval [1, 6].",20,"#include<bits/stdc++.h>usingnamespacestd;vector<vector<int>>mergeOverlap(vector<vector<int>>&arr){intn=arr.size();sort(arr.begin(),arr.end());vector<vector<int>>res;// Checking for all possible overla","Given an array of time intervals wherearr[i] = [starti, endi], our task is to merge all the overlapping intervals into one and output the result which should have only mutually exclusive intervals.  Input:arr[] = [[1, 3], [2, 4], [6, 8], [9, 10]]Output:[[1, 4], [6, 8], [9, 10]]Explanation:In the given intervals, we have only two overlapping intervals [1, 3] and [2, 4]. Therefore, we will merge these two and return [[1, 4]], [6, 8], [9, 10]].Input:arr[] = [[7, 8], [1, 5], [2, 4], [4, 6]]Output:[[1, 6], [7, 8]]Explanation:We will merge the overlapping intervals [[1, 5], [2, 4], [4, 6]] into a single interval [1, 6].  Input:arr[] = [[1, 3], [2, 4], [6, 8], [9, 10]]Output:[[1, 4], [6, 8], [9, 10]]Explanation:In the given intervals, we have only two overlapping intervals [1, 3] and [2, 4]. Therefore, we will merge these two and return [[1, 4]], [6, 8], [9, 10]].  Input:arr[] = [[7, 8], [1, 5], [2, 4], [4, 6]]Output:[[1, 6], [7, 8]]Explanation:We will merge the overlapping intervals [[1, 5],",False
8,Print a given matrix in spiral form,Matrix,Unknown,GeeksforGeeks,"17 Jul, 2025","Given a matrixmat[][] ofsizem x n, the task is to print all elements of the matrix in spiral form.","Input:mat[][] = [[1,   2,   3,   4],[5,    6,   7,   8],[9,   10,  11,  12],[13,  14,  15,  16]]Output:[1, 2, 3, 4, 8, 12, 16, 15, 14, 13, 9, 5, 6, 7, 11, 10]Explanation:Input:mat[][]= [[1,   2,   3,   4,  5,   6],[7,   8,   9,  10,  11,  12],[13,  14,  15, 16,  17,  18]]Output:[1, 2, 3, 4, 5, 6, 12, 18, 17, 16, 15, 14, 13, 7, 8, 9, 10, 11]",22,"#include<iostream>#include<vector>usingnamespacestd;vector<int>spirallyTraverse(vector<vector<int>>&mat){intm=mat.size();intn=mat[0].size();vector<int>res;vector<vector<bool>>vis(m,vector<bool>(n,fals","Given a matrixmat[][] ofsizem x n, the task is to print all elements of the matrix in spiral form.  Input:mat[][] = [[1,   2,   3,   4],[5,    6,   7,   8],[9,   10,  11,  12],[13,  14,  15,  16]]Output:[1, 2, 3, 4, 8, 12, 16, 15, 14, 13, 9, 5, 6, 7, 11, 10]Explanation:Input:mat[][]= [[1,   2,   3,   4,  5,   6],[7,   8,   9,  10,  11,  12],[13,  14,  15, 16,  17,  18]]Output:[1, 2, 3, 4, 5, 6, 12, 18, 17, 16, 15, 14, 13, 7, 8, 9, 10, 11]  Input:mat[][] = [[1,   2,   3,   4],[5,    6,   7,   8],[9,   10,  11,  12],[13,  14,  15,  16]]Output:[1, 2, 3, 4, 8, 12, 16, 15, 14, 13, 9, 5, 6, 7, 11, 10]Explanation:  Input:mat[][]= [[1,   2,   3,   4,  5,   6],[7,   8,   9,  10,  11,  12],[13,  14,  15, 16,  17,  18]]  Output:[1, 2, 3, 4, 5, 6, 12, 18, 17, 16, 15, 14, 13, 7, 8, 9, 10, 11]  Table of Content  [Approach] Using Simulation by Visited Matrix - O(m*n) Time and O(m*n) Space  [Expected Approach] Using Boundary Traversal - O(m*n) Time and O(1) Space  [Approach] Using Simulation by Visite",False
9,Program to find transpose of a matrix,Matrix,Unknown,GeeksforGeeks,"13 Aug, 2025","Given a 2D matrixmat[][], compute itstranspose. Thetransposeof a matrix is formed by converting all rows of mat[][] into columns and all columns into rows.","Input:mat[][] = [[1, 1, 1, 1],[2, 2, 2, 2],[3, 3, 3, 3],[4, 4, 4, 4]]Output:[[1, 2, 3 ,4],[1, 2, 3, 4],[1, 2, 3, 4],[1, 2, 3, 4]]Explanation:The output is the transpose of the input matrix, where each row becomes a column. This rearranges the data so that vertical patterns in the original matrix become horizontal in the result.Input:mat[][] = [[1, 2],[9, -2]]Output:[[1, 9],[2, -2]]Explanation:The output is the transpose of the input matrix, where each row becomes a column. This rearranges the da",22,#include<iostream>#include<vector>usingnamespacestd;vector<vector<int>>transpose(vector<vector<int>>&mat){introws=mat.size();intcols=mat[0].size();// Create a result matrix of size// cols x rows for t,"Given a 2D matrixmat[][], compute itstranspose. Thetransposeof a matrix is formed by converting all rows of mat[][] into columns and all columns into rows.  Input:mat[][] = [[1, 1, 1, 1],[2, 2, 2, 2],[3, 3, 3, 3],[4, 4, 4, 4]]Output:[[1, 2, 3 ,4],[1, 2, 3, 4],[1, 2, 3, 4],[1, 2, 3, 4]]Explanation:The output is the transpose of the input matrix, where each row becomes a column. This rearranges the data so that vertical patterns in the original matrix become horizontal in the result.Input:mat[][] = [[1, 2],[9, -2]]Output:[[1, 9],[2, -2]]Explanation:The output is the transpose of the input matrix, where each row becomes a column. This rearranges the data so that vertical patterns in the original matrix become horizontal in the result.  Input:mat[][] = [[1, 1, 1, 1],[2, 2, 2, 2],[3, 3, 3, 3],[4, 4, 4, 4]]Output:[[1, 2, 3 ,4],[1, 2, 3, 4],[1, 2, 3, 4],[1, 2, 3, 4]]Explanation:The output is the transpose of the input matrix, where each row becomes a column. This rearranges the data so that v",False
10,Word Search in a 2D Grid of characters,Matrix,Unknown,GeeksforGeeks,"30 Sep, 2024","Given a2D grid m*nof characters and aword, the task is to findall occurrencesof the given word in the grid. A word can be matched in all8 directionsat any point. Word is said to be found in a direction if all characters match in this direction(not in zig-zag form).The 8 directions are, Horizontally Left, Horizontally Right, Vertically Up, Vertically Down and 4 Diagonal directions.","Input:grid = {{G,E,E,K,S,F,O,R,G,E,E,K,S}, {G,E,E,K,S,Q,U,I,Z,G,E,E,K}, {I,D,E,Q,A,P,R,A,C,T,I,C,E}}word = ""GEEKS""Output:{{0,0}, {0,8}, {1,0}}Input:grid = {{a,b,a,b},{a,b,e,b},{e,b,e,b}}word = ""abe""Output:{{0,0},{0,2},{1,0}}",20,"// C++ program to search a word in a 2D grid#include<bits/stdc++.h>usingnamespacestd;// This function checks if the given// coordinate is validboolvalidCoord(intx,inty,intm,intn){if(x>=0&&x<m&&y>=0&&y","Given a2D grid m*nof characters and aword, the task is to findall occurrencesof the given word in the grid. A word can be matched in all8 directionsat any point. Word is said to be found in a direction if all characters match in this direction(not in zig-zag form).The 8 directions are, Horizontally Left, Horizontally Right, Vertically Up, Vertically Down and 4 Diagonal directions.  Note:The returning list should belexicographically smallest. If the word can be found in multiple directions starting from the same coordinates, the list should contain the coordinates only once.  Input:grid = {{G,E,E,K,S,F,O,R,G,E,E,K,S}, {G,E,E,K,S,Q,U,I,Z,G,E,E,K}, {I,D,E,Q,A,P,R,A,C,T,I,C,E}}word = ""GEEKS""Output:{{0,0}, {0,8}, {1,0}}Input:grid = {{a,b,a,b},{a,b,e,b},{e,b,e,b}}word = ""abe""Output:{{0,0},{0,2},{1,0}}  Input:grid = {{G,E,E,K,S,F,O,R,G,E,E,K,S}, {G,E,E,K,S,Q,U,I,Z,G,E,E,K}, {I,D,E,Q,A,P,R,A,C,T,I,C,E}}word = ""GEEKS""Output:{{0,0}, {0,8}, {1,0}}  Input:grid = {{a,b,a,b},{a,b,e,b},{e,b,e,b}}word",False
