Topic,Question Title,URL,Description,Number of Approaches,Last Updated
Array,Two Sum - Pair with given Sum,https://www.geeksforgeeks.org/dsa/check-if-pair-with-given-sum-exists-in-array/,"Given an arrayarr[]of n integers and atargetvalue, check if there exists a pair whose sum equals the",4,Last Updated :
Array,Product of Array Except Self,https://www.geeksforgeeks.org/dsa/a-product-array-puzzle/,"Given an array arr[] of n integers, construct aproduct arrayres[] (of the same size) such that res[i",2,Last Updated :
Array,Maximum Subarray Sum  - Kadane's Algorithm,https://www.geeksforgeeks.org/dsa/largest-sum-contiguous-subarray/,"Given an integer arrayarr[], find thesubarray(containing at least one element) which has themaximum ",2,Last Updated :
Array,Container with Most Water,https://www.geeksforgeeks.org/dsa/container-with-most-water/,"Given an arrayarr[]ofnon-negativeintegers, where each elementarr[i]represents the height of the vert",2,Last Updated :
Array,Find the Factorial of a large number,https://www.geeksforgeeks.org/dsa/factorial-large-number/,"Factorial of a non-negative integer, is the multiplication of all integers smaller than or equal to ",0,Last Updated :
Array,Trapping Rain Water Problem,https://www.geeksforgeeks.org/dsa/trapping-rain-water/,"Given an array arr[] of size n consisting of non-negative integers, where each element represents th",4,Last Updated :
Array,Merge Overlapping Intervals,https://www.geeksforgeeks.org/dsa/merging-intervals/,"Given an array of time intervals wherearr[i] = [starti, endi], our task is to merge all the overlapp",2,Last Updated :
Matrix,Print a given matrix in spiral form,https://www.geeksforgeeks.org/dsa/print-a-given-matrix-in-spiral-form/,"Given a matrixmat[][] ofsizem x n, the task is to print all elements of the matrix in spiral form.",2,Last Updated :
Matrix,Program to find transpose of a matrix,https://www.geeksforgeeks.org/dsa/program-to-find-transpose-of-a-matrix/,"Given a 2D matrixmat[][], compute itstranspose. Thetransposeof a matrix is formed by converting all ",2,Last Updated :
Matrix,Word Search in a 2D Grid of characters,https://www.geeksforgeeks.org/dsa/search-a-word-in-a-2d-grid-of-characters/,"Given a2D grid m*nof characters and aword, the task is to findall occurrencesof the given word in th",2,Last Updated :
String,Longest Substring Without Repeating Characters,https://www.geeksforgeeks.org/dsa/length-of-the-longest-substring-without-repeating-characters/,"Given a stringshavinglowercasecharacters, find the length of the longest substring without repeating",3,Last Updated :
String,Maximum consecutive repeating character in string,https://www.geeksforgeeks.org/dsa/maximum-consecutive-repeating-character-string/,"Given a strings, the task is to find themaximum consecutive repeating characterin the string. Note:W",3,Last Updated :
String,Smallest window in a String containing all characters of other String,https://www.geeksforgeeks.org/dsa/find-the-smallest-window-in-a-string-containing-all-characters-of-another-string/,"Given two stringssandp, the task is to find the smallest substring insthat contains all characters o",3,Last Updated :
String,Group Anagrams Together,https://www.geeksforgeeks.org/dsa/given-a-sequence-of-words-print-all-anagrams-together/,"Given an array of wordsarr[], the task is to groups strings that areanagrams. Ananagramis a word or ",2,Last Updated :
String,Sentence Palindrome,https://www.geeksforgeeks.org/dsa/sentence-palindrome-palindrome-removing-spaces-dots-etc/,"Given a sentences, determine whether it is apalindrome sentenceor not. A palindrome sentence is a se",2,Last Updated :
String,Longest Palindromic Substring,https://www.geeksforgeeks.org/dsa/longest-palindromic-substring/,"Given a strings, find the longest substring which is a palindrome. If there are multiple answers, th",4,Last Updated :
String,Palindrome Substrings Count,https://www.geeksforgeeks.org/dsa/count-palindrome-sub-strings-string/,"Given a strings, find the total number of palindromic substrings of length greater than or equal to ",4,Last Updated :
Searching and Sorting,Unknown,https://www.geeksforgeeks.org/problems/search-in-a-rotated-array4618/1,,0,Unknown
Searching and Sorting,Unknown,https://www.geeksforgeeks.org/problems/peak-element/1,,0,Unknown
Searching and Sorting,Unknown,https://www.geeksforgeeks.org/problems/k-th-element-of-two-sorted-array1317/1,,0,Unknown
Searching and Sorting,Unknown,https://www.geeksforgeeks.org/problems/allocate-minimum-number-of-pages0937/1,,0,Unknown
Searching and Sorting,Unknown,https://www.geeksforgeeks.org/problems/kth-missing-positive-number-in-a-sorted-array/1,,0,Unknown
Searching and Sorting,Unknown,https://www.geeksforgeeks.org/problems/inversion-of-array-1587115620/1,,0,Unknown
Searching and Sorting,Unknown,https://www.geeksforgeeks.org/problems/merge-two-sorted-arrays-1587115620/1,,0,Unknown
Searching and Sorting,Unknown,https://www.geeksforgeeks.org/problems/chocolate-distribution-problem3825/1,,0,Unknown
Hashing,Unknown,https://www.geeksforgeeks.org/problems/find-all-pairs-whose-sum-is-x5808/1,,0,Unknown
Hashing,Unknown,https://www.geeksforgeeks.org/problems/longest-subsequence-with-difference/1,,0,Unknown
Hashing,Unknown,https://www.geeksforgeeks.org/problems/longest-consecutive-subsequence2449/1,,0,Unknown
Hashing,Unknown,https://www.geeksforgeeks.org/problems/count-subarray-with-given-xor/1,,0,Unknown
Linked List,Reverse a Linked List,https://www.geeksforgeeks.org/dsa/reverse-a-linked-list/,"Given theheadof a linked list, reverse the list and return the new head.",3,Last Updated :
Linked List,Detect Cycle in Linked List,https://www.geeksforgeeks.org/dsa/detect-loop-in-a-linked-list/,"Given the head of a singly linked list, determine whether the list contains a cycle. A cycle exists ",2,Last Updated :
Linked List,Merge two sorted linked lists,https://www.geeksforgeeks.org/dsa/merge-two-sorted-linked-lists/,"Given theheadsof two sorted linked lists, merge them into a single sorted linked list and return the",3,Last Updated :
Linked List,Merge K sorted linked lists,https://www.geeksforgeeks.org/dsa/merge-k-sorted-linked-lists/,"Givenksorted linked lists of different sizes, we need to merge them into a single list while maintai",4,Last Updated :
Linked List,Remove Nth node from end of the Linked List,https://www.geeksforgeeks.org/dsa/remove-nth-node-from-end-of-the-linked-list/,Given a linked list. The task is toremovetheNthnode from theendof the linked list.,2,Last Updated :
Linked List,Unknown,https://www.geeksforgeeks.org/problems/reorder-list/1,,0,Unknown
Linked List,Add 1 to a number represented as linked list,https://www.geeksforgeeks.org/dsa/add-1-number-represented-linked-list/,Anumberis represented inlinked listsuch that each digit corresponds to a node in linked list. The ta,2,Last Updated :
Linked List,Clone a Linked List with Random Pointer,https://www.geeksforgeeks.org/dsa/a-linked-list-with-next-and-arbit-pointer/,Given aheadof linked list where each node has two links:next pointerpointing to the next node andran,3,Last Updated :
"Stack, Queue & Deque",Infix to Postfix Expression,https://www.geeksforgeeks.org/dsa/convert-infix-expression-to-postfix-expression/,"Given a stringsrepresenting an infix expression (""operand1 operator operand2"" ), Convert it into its",1,Last Updated :
"Stack, Queue & Deque",Next Greater Element in Array,https://www.geeksforgeeks.org/dsa/next-greater-element/,"Given an arrayarr[]of integers, determine theNext Greater Element(NGE) for every element in the arra",2,Last Updated :
"Stack, Queue & Deque",Largest Rectangular Area in a Histogram,https://www.geeksforgeeks.org/dsa/largest-rectangular-area-in-a-histogram-using-stack/,"Given an arrayarr[]representing a histogram, where each element denotes the height of a bar and ever",4,Last Updated :
"Stack, Queue & Deque",Delete middle element of a stack,https://www.geeksforgeeks.org/dsa/delete-middle-element-stack/,"Given a stack withpush(),pop(), andempty()operations, The task is to delete themiddleelementof it wi",3,Last Updated :
"Stack, Queue & Deque",Longest Valid Parentheses Substring,https://www.geeksforgeeks.org/dsa/length-of-the-longest-valid-substring/,"Given a stringsconsisting of opening and closing parenthesis '(' and ')', find the length of the lon",3,Last Updated :
"Stack, Queue & Deque",Sum of Max of Subarrays,https://www.geeksforgeeks.org/dsa/sum-of-maximum-elements-of-all-possible-sub-arrays-of-an-array/,"Given an arrayarr[], the task is to find the sum of the maximumelementsof every possible non-empty s",2,Last Updated :
"Stack, Queue & Deque",Next greater element in a Circular Array,https://www.geeksforgeeks.org/dsa/find-the-next-greater-element-in-a-circular-array/,"Given a circular arrayarr[], find thenext greater elementfor each element in the array.Note:The next",2,Last Updated :
"Stack, Queue & Deque",Longest subarray with absolute difference between any pair at most X,https://www.geeksforgeeks.org/dsa/longest-subarray-in-which-absolute-difference-between-any-two-element-is-not-greater-than-x/,"Given an integer arrayarr[]and an integerx, Find the longest sub-array where the absolute difference",3,Last Updated :
"Stack, Queue & Deque",Sliding Window Maximum (Maximum of all subarrays of size K),https://www.geeksforgeeks.org/dsa/sliding-window-maximum-maximum-of-all-subarrays-of-size-k/,"Given an arrayarr[]of integers and an integerk, your task is to find the maximum value for each cont",3,Last Updated :
"Stack, Queue & Deque",Stack Coding Problems for SDE Interviews,https://www.geeksforgeeks.org/dsa/top-50-problems-on-stack-data-structure-asked-in-interviews/,AStackis a linear data structure in which the insertion of a new element and removal of an existing ,0,Last Updated :
"Stack, Queue & Deque",Queue Coding Questions for SDE Interviews,https://www.geeksforgeeks.org/dsa/top-50-problems-on-queue-data-structure-asked-in-sde-interviews/,AQueueis defined as a linear data structure that is open at both ends and the operations are perform,0,Last Updated :
"Stack, Queue & Deque",Deque Interview Questions for SDE Interviews,https://www.geeksforgeeks.org/dsa/top-problems-on-deque-data-structure-asked-in-sde-interviews/,ADeque(Double-Ended Queue) is a flexible data structure that supports insertion and deletion from bo,0,Last Updated :
Tree,Maximum Depth or Height of a Binary Tree,https://www.geeksforgeeks.org/dsa/find-the-maximum-depth-or-height-of-a-tree/,"Given therootof abinary tree, find themaximum depthof the tree.The maximum depth or height of the tr",2,Last Updated :
Tree,Check if two trees are Mirror,https://www.geeksforgeeks.org/dsa/check-if-two-trees-are-mirror/,"Given twoBinary Trees, the task is to check if two trees aremirrorof each other or not. For two tree",2,Last Updated :
Tree,Flip Binary Tree,https://www.geeksforgeeks.org/dsa/flip-binary-tree/,"Given abinary tree,the task is toflipthe binary tree towards theright direction that isclockwise.",2,Last Updated :
Tree,Maximum Path Sum in a Binary Tree,https://www.geeksforgeeks.org/dsa/find-maximum-path-sum-in-a-binary-tree/,"Given therootof the binary tree, Find themaximum path sum. The path may start and end at any node in",1,Last Updated :
Tree,Level Order Traversal (Breadth First Search) of Binary Tree,https://www.geeksforgeeks.org/dsa/level-order-tree-traversal/,Level Order Traversal technique is a method to traverse a Tree such that all nodes present in the sa,2,Last Updated :
Tree,Check if a Binary Tree is subtree of another binary tree | Set 1,https://www.geeksforgeeks.org/dsa/check-if-a-binary-tree-is-subtree-of-another-binary-tree/,"Giventwobinary trees, check if the first tree is asubtreeof the second one. A subtree of a treeT(roo",0,Last Updated :
Tree,Check if a Binary Tree is BST or not,https://www.geeksforgeeks.org/dsa/a-program-to-check-if-a-binary-tree-is-bst-or-not/,"Given therootof a binary tree, determine whether it is aBinary Search Tree(BST). A Binary Search Tre",3,Last Updated :
Tree,k-th Smallest in BST,https://www.geeksforgeeks.org/dsa/find-k-th-smallest-element-in-bst-order-statistics-in-bst/,"Given therootof aBinary Search Tree (BST) and a positive integerk, find thekthsmallest element in th",2,Last Updated :
Tree,Lowest Common Ancestor in a Binary Search Tree,https://www.geeksforgeeks.org/dsa/lowest-common-ancestor-in-a-binary-search-tree/,"Given therootof a Binary Search Tree and two noden1andn2, find theLowest Common Ancestor (LCA).LCA i",3,Last Updated :
Tree,Trie Data Structure,https://www.geeksforgeeks.org/dsa/trie-insert-and-search/,The Triedata structureis used to store a set of keys represented as strings. It allows for efficient,0,Last Updated :
Heap,Find Median from Running Data Stream,https://www.geeksforgeeks.org/dsa/median-of-stream-of-integers-running-integers/,"Given a data streamarr[]where integers are read sequentially, Determine themedianof the elements enc",2,Last Updated :
Heap,Largest triplet product in a stream,https://www.geeksforgeeks.org/dsa/largest-triplet-product-stream/,"Given a stream of integers represented as arr[]. For each index i from 0 to n-1, print the multiplic",0,Last Updated :
Heap,Connect n ropes with minimum cost,https://www.geeksforgeeks.org/dsa/connect-n-ropes-minimum-cost/,"Given an arrayarr[]of rope lengths, connect all ropes into a single rope with theminimumtotal cost. ",2,Last Updated :
Graph,Clone an Undirected Graph,https://www.geeksforgeeks.org/dsa/clone-an-undirected-graph/,"Given aconnected undirected graphrepresented by adjacency list,adjList[][]withnnodes andmedges, with",2,Last Updated :
Graph,Unknown,https://www.geeksforgeeks.org/problems/course-schedule/1,,0,Unknown
Graph,Atlantic pacific water flow,https://www.geeksforgeeks.org/dsa/atlantic-pacific-water-flow/,There is anN x Mrectangular island that borders both the Pacific Ocean and the Atlantic Ocean. The P,0,Last Updated :
Graph,Detect Cycle in a Directed Graph,https://www.geeksforgeeks.org/dsa/detect-cycle-in-a-graph/,"Given a directed graph represented by its adjacency listadj[][], determine whether the graph contain",2,Last Updated :
Graph,Bridges in a graph,https://www.geeksforgeeks.org/dsa/bridge-in-a-graph/,"Given an undirected Graph, The task is to find the Bridges in this Graph. An edge in an undirected c",0,Last Updated :
Graph,Check whether a given graph is Bipartite or not,https://www.geeksforgeeks.org/dsa/bipartite-graph/,"Given a graph withV verticesnumbered from0 to V-1and a list ofedges, determine whether the graph isb",0,Last Updated :
Graph,Max Area of Island - Largest in Boolean Matrix,https://www.geeksforgeeks.org/dsa/find-length-largest-region-boolean-matrix/,"Given a binary 2D matrix, find area of thelargest region of 1swhich are connectedhorizontally,vertic",0,Last Updated :
Graph,Flood Fill Algorithm,https://www.geeksforgeeks.org/dsa/flood-fill-algorithm/,"Given a 2D gridimg[][]representing an image, where each elementimg[i][j]is an integer that denotes t",2,Last Updated :
Graph,Strongly Connected Components,https://www.geeksforgeeks.org/dsa/strongly-connected-components/,"In a directed graph, a Strongly Connected Component is a subset of vertices where every vertex in th",2,Last Updated :
Graph,Topological Sorting,https://www.geeksforgeeks.org/dsa/topological-sorting/,Topological sorting for Directed Acyclic Graph (DAG) is a linear ordering of vertices such that for ,0,Last Updated :
Dynamic Programming & Greedy,Climbing stairs to reach the top,https://www.geeksforgeeks.org/dsa/count-ways-reach-nth-stair/,"There arenstairs, and a person standing at the bottom wants to climb stairs to reach the top. The pe",0,Last Updated :
Dynamic Programming & Greedy,Coin Change - Count Ways to Make Sum,https://www.geeksforgeeks.org/dsa/coin-change-dp-7/,Given an integer array ofcoins[]ofsize nrepresenting different types ofdenominationsand an integersu,4,Last Updated :
Dynamic Programming & Greedy,0/1 Knapsack Problem,https://www.geeksforgeeks.org/dsa/0-1-knapsack-problem-dp-10/,Givennitems where each item has some weight and profit associated with it and also given a bag with ,4,Last Updated :
Dynamic Programming & Greedy,Longest Increasing Subsequence (LIS),https://www.geeksforgeeks.org/dsa/longest-increasing-subsequence-dp-3/,"Given an arrayarr[]of sizen, the task is to find thelengthof theLongest Increasing Subsequence (LIS)",4,Last Updated :
Dynamic Programming & Greedy,Longest Common Subsequence (LCS),https://www.geeksforgeeks.org/dsa/longest-common-subsequence-dp-4/,"Given two strings,s1ands2, the task is to find the length of the Longest Common Subsequence. If ther",4,Last Updated :
Dynamic Programming & Greedy,Word Break,https://www.geeksforgeeks.org/dsa/word-break-problem-dp-32/,"Given a stringsand y a dictionary ofnwordsdictionary, check ifscan be segmented into a sequence of v",3,Last Updated :
Dynamic Programming & Greedy,Dice Throw,https://www.geeksforgeeks.org/dsa/dice-throw-dp-30/,"Given n dices each with m faces, numbered from1 to m, the task is to find thenumber of waysto get su",0,Last Updated :
Dynamic Programming & Greedy,Egg Dropping Puzzle | DP-11,https://www.geeksforgeeks.org/dsa/egg-dropping-puzzle-dp-11/,You are givennidentical eggs and you have access to ak-floored building from1tok. There exists a flo,4,Last Updated :
Dynamic Programming & Greedy,Matrix Chain Multiplication,https://www.geeksforgeeks.org/dsa/matrix-chain-multiplication-dp-8/,"Given the dimension of a sequence of matrices in an arrayarr[], where the dimension of theithmatrix ",3,Last Updated :
Dynamic Programming & Greedy,Target Sum Combinations,https://www.geeksforgeeks.org/dsa/combinational-sum/,"Given an arrayarr[]of distinct integers and an integertarget, find all unique combinations of array ",1,Last Updated :
Dynamic Programming & Greedy,Subset Sum Problem,https://www.geeksforgeeks.org/dsa/subset-sum-problem-dp-25/,"Given an arrayarr[]of non-negative integers and a valuesum, the task is to check if there is asubset",4,Last Updated :
Dynamic Programming & Greedy,House Robber - Maximum possible stolen value,https://www.geeksforgeeks.org/dsa/find-maximum-possible-stolen-value-houses/,"There arenhouses built in a line, each of which contains some money in it. A robber wants to steal m",4,Last Updated :
Dynamic Programming & Greedy,Count Possible Decodings of a given Digit Sequence,https://www.geeksforgeeks.org/dsa/count-possible-decodings-given-digit-sequence/,"Let1 maps to 'A', 2 maps to 'B', ..., 26 to 'Z'.Given adigit sequence,countthe number of possibledec",4,Last Updated :
Dynamic Programming & Greedy,Unique paths in a Grid with Obstacles,https://www.geeksforgeeks.org/dsa/unique-paths-in-a-grid-with-obstacles/,"Given a matrixmat[][]of sizen * m, where mat[i][j] = 1 indicates an obstacle and mat[i][j] = 0 indic",0,Last Updated :
Dynamic Programming & Greedy,Unknown,https://www.geeksforgeeks.org/problems/jump-game/1,,0,Unknown
Dynamic Programming & Greedy,Rod Cutting,https://www.geeksforgeeks.org/dsa/cutting-a-rod-dp-13/,Given a rod of lengthn inchesand an arrayprice[].price[i] denotes the value of apieceof length i. Th,0,Last Updated :
Dynamic Programming & Greedy,Maximum Product Cutting | DP-36,https://www.geeksforgeeks.org/dsa/maximum-product-cutting-dp-36/,"Given a rope of length n meters, cut the rope in different parts of integer lengths in a way that ma",0,Last Updated :
Dynamic Programming & Greedy,Count number of ways to cover a distance,https://www.geeksforgeeks.org/dsa/count-number-of-ways-to-cover-a-distance/,"Given a distance 'dist', count total number of ways to cover the distance with 1, 2 and 3 steps.",0,Last Updated :
Dynamic Programming & Greedy,Connect n ropes with minimum cost,https://www.geeksforgeeks.org/dsa/connect-n-ropes-minimum-cost/,"Given an arrayarr[]of rope lengths, connect all ropes into a single rope with theminimumtotal cost. ",2,Last Updated :
Dynamic Programming & Greedy,Largest Number by One Swap,https://www.geeksforgeeks.org/dsa/largest-number-with-one-swap-allowed/,"Given a numeric strings, find the lexicographically largest string by swapping at most one pair of c",2,Last Updated :
Bit Manipulations,Count set bits in an integer,https://www.geeksforgeeks.org/dsa/count-set-bits-in-an-integer/,Given a positive number n count the set bit .Examples : Input :n = 6Output :2Binary representation o,4,Last Updated :
Bit Manipulations,Find the Missing Number,https://www.geeksforgeeks.org/dsa/find-the-missing-number/,"Given an arrayarr[]of sizen-1withdistinctintegers in the range of[1, n].This array represents a perm",4,Last Updated :
Bit Manipulations,Bits manipulation (Important tactics),https://www.geeksforgeeks.org/dsa/bits-manipulation-important-tactics/#xorsubset,"Prerequisites:Bitwise operators in C,Bitwise Hacks for Competitive Programming,Bit Tricks for Compet",0,Last Updated :
